League,Home_Team,Away_Team,Home_FH,Away_FH,Home_Result,Away_Result,Odds_Home,Odds_Draw,Odds_Away,Alt-Ust
Dutch Cup,PSV , Telstar,1,1,2,1,1.03,10.0,17.0,UST
African Nations Cup,Sierra Leone , Eq Guinea,0,1,0,1,3.1,2.45,2.5,ALT
African Nations Cup,Ivory Coast , Algeria,2,0,3,1,2.7,3.1,2.3,UST
Mexican League,Club Leon , Club Atlas,1,0,1,1,2.1,2.95,3.2,UST
Spanish League,Valencia , Sevilla,1,1,1,1,2.9,2.85,2.35,UST
English Premier,Brentford , Manchester Utd,0,0,1,3,4.2,3.7,1.67,UST
English League Champ,Reading , Luton,0,1,0,2,3.8,3.3,1.8,UST
Dutch Cup,Twente Enschede , Alkmaar,0,0,1,2,3.2,3.1,2.05,UST
Spanish Cup,Sociedad , Atletico Madrid,1,0,2,0,2.55,2.8,2.7,UST
Italian Cup,Inter , Empoli,1,0,2,2,1.17,6.5,9.0,UST
English League Champ,Hull City , Blackburn,1,0,2,0,3.05,3.5,1.95,UST
German Cup,Hoffenheim , Freiburg,0,2,1,4,2.05,3.3,3.0,UST
German Cup,Hertha Berlin , Union Berlin,0,1,2,3,2.75,2.75,2.55,UST
English Premier,Leicester , Tottenham,1,1,2,3,3.05,3.2,2.05,UST
African Nations Cup,Egypt , Sudan,1,0,1,0,1.2,5.2,12.0,ALT
African Nations Cup,Guinea Bissau , Nigeria,0,0,0,2,4.8,3.4,1.63,ALT
Dutch Cup,NAC Breda , Zwolle,1,1,2,1,3.05,3.05,2.15,UST
Spanish League,Celta de Vigo , Osasuna,2,0,2,0,1.72,3.2,4.4,UST
French League,Montpellier , Troyes,0,0,0,1,1.65,3.6,4.2,ALT
French League,Lille , Lorient,3,0,3,1,1.48,3.8,5.5,UST
French League,Clermont , Strasbourg,0,1,0,2,3.2,3.0,2.1,UST
Dutch Cup,Groningen , Nijmegen,1,1,1,2,2.1,3.0,3.2,UST
German Cup,RB Leipzig , Hansa Rostock,1,0,2,0,1.1,7.0,19.0,UST
German Cup,Hannover , Monchengladbach,2,0,3,0,4.4,3.7,1.6,UST
Italian Cup,Sassuolo , Cagliari,1,0,1,0,1.45,4.3,5.2,ALT
Indian S League,FC Goa , East Bengal,1,2,1,2,1.5,3.7,5.5,UST
A League,Brisbane Roar , Perth Glory,0,0,1,0,2.15,3.5,2.85,ALT
Spanish League,Cadiz , Espanyol,0,1,2,2,2.8,2.9,2.4,UST
Italian Cup,Juventus , Sampdoria,1,0,4,1,1.33,4.5,7.5,UST
English Premier,Brighton , Chelsea,0,1,1,1,5.5,3.9,1.45,UST
Dutch Cup,Heerenveen , Go Ahead Eagles,0,1,0,1,2.05,3.2,3.1,ALT
English League One (Account Only),Morecambe , Wigan,1,1,1,2,4.8,3.6,1.58,UST
English League One (Account Only),AFC Wimbledon , Portsmouth,0,0,0,0,3.1,3.1,2.1,ALT
English League One (Account Only),Cambridge , Doncaster,1,0,3,1,1.65,3.4,4.5,UST
German Cup,Bochum , Mainz,0,1,3,1,3.8,3.1,1.87,UST
German Cup,FC St Pauli , Dortmund,2,0,2,1,9.0,5.8,1.22,UST
English League Champ,Preston , Sheffield Utd,0,2,2,2,2.75,2.95,2.4,UST
English League Champ,Fulham , Birmingham,4,1,6,2,1.27,5.0,8.5,UST
Spanish League,Real Betis , Alaves,3,0,4,0,1.5,3.8,5.2,UST
African Nations Cup,Gabon , Morocco,1,0,2,2,5.5,2.65,1.77,UST
African Nations Cup,Ghana , Comoros,0,1,2,3,1.25,5.0,10.0,UST
Dutch Cup,Waalwijk , ADO Den Haag,1,2,2,2,2.7,3.4,2.2,UST
German Cup,1860 Munich , Karlsruhe,0,0,0,1,2.55,3.4,2.3,ALT
German Cup,Cologne , Hamburg,0,0,0,0,1.92,3.5,3.1,ALT
Italian Cup,Lazio , Udinese,0,0,0,0,1.63,3.6,4.3,ALT
African Nations Cup,Malawi , Senegal,0,0,0,0,11.0,4.3,1.28,ALT
African Nations Cup,Zimbabwe , Guinea,2,0,2,1,6.0,3.4,1.53,UST
Indian S League,NorthEast Utd , Odisha,0,2,0,2,2.85,3.4,2.1,UST
A Cup (Account Only),Sydney FC , Central Coast,0,0,0,1,1.95,3.2,3.4,ALT
Italian League,Fiorentina , Genoa,3,0,6,0,1.37,4.0,7.0,UST
Italian League,Bologna , Napoli,0,1,0,2,4.2,3.6,1.65,UST
Italian League,Milan , Spezia,1,0,1,2,1.25,5.0,8.5,UST
African Nations Cup,Burkina Faso , Ethiopia,1,0,1,1,1.5,3.6,5.8,UST
African Nations Cup,Cape Verde , Cameroon,0,1,1,1,6.5,3.3,1.53,UST
Indian S League,Hyderabad , Jamshedpur,0,0,0,0,2.4,3.05,2.65,ALT
Mexican League,Pachuca , Guadalajara,2,0,2,1,2.1,3.0,3.2,UST
Italian League,Atalanta , Inter,0,0,0,0,2.8,3.3,2.15,ALT
French League,Marseille , Lille,0,1,1,1,2.15,3.1,3.0,UST
African Nations Cup,Algeria , Eq Guinea,0,0,0,1,1.27,4.4,10.0,ALT
Spanish Cup,Real Madrid , Athletic Bilbao,1,0,2,0,1.65,3.5,4.3,UST
Mexican League,Toluca , Santos Laguna,1,1,3,1,2.95,3.1,2.15,UST
Italian League,Roma , Cagliari,1,0,1,0,1.3,4.8,7.5,ALT
German League,Bielefeld , Greuther Furth,1,1,2,2,1.82,3.3,3.8,UST
French League,Troyes , Lyon,0,1,0,1,4.1,3.6,1.67,ALT
African Nations Cup,Tunisia , Mauritania,2,0,4,0,1.37,3.9,8.0,UST
African Nations Cup,Ivory Coast , Sierra Leone,1,0,2,2,1.25,4.5,11.0,UST
Dutch League,Fortuna Sittard , Alkmaar,0,1,1,2,6.0,3.9,1.45,UST
German League,Augsburg , E Frankfurt,1,1,1,1,2.6,3.1,2.4,UST
Italian League,Venezia , Empoli,0,1,1,1,2.65,3.2,2.3,UST
French League,Strasbourg , Montpellier,0,1,3,1,2.0,3.1,3.3,UST
French League,Reims , Metz,0,0,0,1,1.82,3.0,4.5,ALT
French League,Monaco , Clermont,1,0,4,0,1.37,4.0,7.5,UST
French League,Lorient , Angers SCO,0,0,0,0,2.25,3.2,2.8,ALT
English Premier,West Ham , Leeds,1,2,2,3,1.48,4.1,4.8,UST
English Premier,Liverpool , Brentford,1,0,3,0,1.2,5.2,11.0,UST
Dutch League,Cambuur , Sparta Rotterdam,1,0,1,1,2.55,3.3,2.35,UST
Dutch League,Groningen , PSV,0,1,0,1,8.0,4.3,1.33,ALT
Spanish League,Elche , Villarreal,0,0,1,0,5.0,3.6,1.55,ALT
African Nations Cup,Gambia , Mali,0,0,1,1,7.5,2.85,1.6,ALT
French League,Rennes , Bordeaux,2,0,6,0,1.33,4.5,7.5,UST
English League Champ,Hull City , Stoke City,0,1,0,2,2.5,2.9,2.7,UST
Italian League,Sassuolo , Verona,0,2,2,4,2.0,3.4,3.1,UST
Dutch League,Utrecht , Ajax,0,3,0,3,7.5,5.0,1.28,UST
Mexican League,Tijuana , Club Leon,0,1,1,1,2.3,3.2,2.65,UST
Mexican League,Cruz Azul , Juarez,1,0,1,0,1.7,3.05,5.0,ALT
Mexican League,Tigres UANL , Puebla,0,2,0,2,1.53,3.6,5.2,UST
Mexican League,Club Atlas , San Luis,0,0,1,0,1.7,3.05,4.7,ALT
Spanish Cup,Real Betis , Sevilla,1,1,2,1,2.05,3.1,3.2,UST
French League,Paris SG , Brest,1,0,2,0,1.22,5.2,9.0,UST
Dutch League,Go Ahead Eagles , Waalwijk,0,2,0,2,1.92,3.3,3.3,UST
Italian League,Juventus , Udinese,1,0,2,0,1.4,4.1,6.5,UST
Dutch League,Feyenoord , Vitesse Arnhem,0,0,0,1,1.37,4.7,6.0,ALT
Dutch League,Twente Enschede , Heerenveen,0,0,2,0,1.8,3.4,3.7,ALT
African Nations Cup,Guinea Bissau , Egypt,0,0,0,1,6.5,3.6,1.48,ALT
Dutch League,Nijmegen , Heracles,0,0,0,0,2.4,3.05,2.65,ALT
German League,Monchengladbach , Leverkusen,0,0,0,0,2.85,3.5,2.05,ALT
English Premier,Aston Villa , Manchester Utd,0,1,2,2,2.6,3.2,2.25,UST
Spanish Cup,Girona , Vallecano,1,1,1,2,2.75,2.85,2.45,UST
Spanish Cup,Sporting Gijon , Cadiz,0,0,0,0,1.85,3.2,3.7,ALT
Italian League,Salernitana , Lazio,0,2,0,3,8.5,5.0,1.27,UST
